length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
157	9748493	1766103	1605033	1905503	1923010	1201011	1941746	1847944	1343815	1668898	1503004	1720018	7080454	1686303	10730483	1944956	1749448	2144108	2113143	3177848	7264700	3451875	1450464	1892744	1670383	1893134	7504995	4076245
158	10844725	1923111	1761894	2119010	2098833	1158300	1920059	1814073	1495746	1834485	1671665	1875675	8057226	1682814	11942600	2118270	1919922	2381427	2304343	3074689	7232945	3394546	1614346	2080572	1858711	2069293	8540207	4082808
159	12070853	2080065	1933836	2332792	2255689	1136711	1933689	1816028	1650249	2014408	1856574	2041535	9595301	1734740	13297477	2288306	2104781	2617457	2476443	3021904	7315915	3397584	1779569	2284646	2061972	2249465	10166361	4202102
160	13110650	2183413	2064005	2493870	2376750	1133920	1971309	1843188	1769727	2159658	2006343	2155773	11163957	1808645	14446834	2402675	2245294	2797355	2608150	3020550	7486454	3460586	1909768	2450949	2226636	2375843	11821102	4393007
161	13841684	2238405	2150957	2610962	2472778	1135255	2025029	1887668	1857170	2252573	2105671	2226202	12210185	1890947	15252960	2462065	2338412	2923941	2713611	3029067	7721182	3552876	2002403	2558461	2338074	2454907	12916565	4596991
162	14545775	2321108	2243509	2740182	2625006	1147318	2106533	1945677	1962860	2358175	2223667	2322633	12660387	1971581	16035382	2555549	2442709	3074527	2883498	3056039	8012361	3658478	2118297	2676670	2470431	2561968	13405681	4785943
163	15785980	2537531	2436598	2988005	2963295	1162981	2191896	2009498	2172712	2563502	2442513	2552077	12972387	2042029	17395897	2795865	2654461	3357324	3247922	3096350	8348817	3775753	2345091	2908224	2713957	2813141	13735134	4959655
164	17696500	2900827	2733587	3386533	3473480	1183213	2267899	2076630	2507859	2857927	2775543	2929376	13354691	2105398	19504809	3187663	2969571	3787970	3808713	3151789	8660411	3906750	2706028	3242886	3084464	3227050	14147174	5117288
165	19569132	3200129	2978722	3714613	3876100	1202280	2313930	2146243	2815592	3093888	3092764	3265619	13722065	2175152	21574032	3514787	3236922	4153425	4252566	3203915	8862667	4040382	3034931	3510413	3434745	3600572	14537124	5276564
166	20543024	3251989	3045996	3797634	3939980	1207742	2317493	2191008	2919654	3142088	3218980	3365474	14089045	2234586	22656509	3573007	3310692	4253241	4304804	3227024	8917740	4137454	3148989	3564210	3567065	3713387	14935954	5428457
